,URL_LENGTH,NUMBER_SPECIAL_CHARACTERS,CHARSET,SERVER,CONTENT_LENGTH,WHOIS_COUNTRY,WHOIS_STATEPRO,WHOIS_REGDATE,WHOIS_UPDATED_DATE,TCP_CONVERSATION_EXCHANGE,DIST_REMOTE_TCP_PORT,REMOTE_IPS,APP_BYTES,SOURCE_APP_PACKETS,REMOTE_APP_PACKETS,SOURCE_APP_BYTES,REMOTE_APP_BYTES,APP_PACKETS,DNS_QUERY_TIMES,Type,CHARSET1,SERVER1,WHOIS_COUNTRY1,WHOIS_STATEPRO1,WHOIS_REGDATE1,WHOIS_UPDATED_DATE1,TCP_CONVERSATION_EXCHANGE1,DIST_REMOTE_TCP_PORT1,REMOTE_IPS1,APP_BYTES1,SOURCE_APP_PACKETS1,REMOTE_APP_PACKETS1,SOURCE_APP_BYTES1,REMOTE_APP_BYTES1,APP_PACKETS1,DNS_QUERY_TIMES1
11,20,6,151,110,324.0,1054,23,1,1,593,763,593,593,593,590,590,593,593,892.0,1,155,113,1103,24,1,1,657,916,657,657,655,590,590,655,655,976.0
12,20,7,359,175,13716.0,15,290,1,6,25,60,62,1,19,21,1,1,19,276.0,1,379,175,19,362,1,7,27,60,67,1,21,25,1,1,21,309.0
13,20,6,382,162,3692.0,241,290,1,3,14,8,112,1,12,11,1,1,12,19.0,1,427,211,306,362,1,3,17,8,128,1,13,11,1,1,13,19.0
14,20,7,382,12,13054.0,241,290,76,79,593,763,593,593,593,590,590,593,593,892.0,1,427,12,306,362,127,139,657,916,657,657,655,590,590,655,655,976.0
15,21,7,382,1,957.0,9,290,0,0,42,763,70,0,23,29,0,0,23,276.0,0,427,5,10,362,1,1,56,916,101,1,35,39,1,1,35,309.0
16,21,7,121,162,686.0,0,0,0,1,37,763,148,0,36,31,0,0,36,101.0,0,134,211,2,1,1,2,39,916,191,1,38,42,1,1,38,142.0
17,21,6,151,110,324.0,241,290,1,1,42,49,168,8,30,31,9,9,30,892.0,1,155,113,306,362,1,1,56,49,183,8,32,42,9,9,32,976.0
18,21,6,359,162,15025.0,241,290,76,79,17,54,107,1,16,22,1,1,16,101.0,1,379,211,306,362,127,139,18,106,134,1,21,29,1,1,21,142.0
19,22,7,151,110,324.0,1054,23,1,1,25,763,112,0,23,31,1,0,23,101.0,0,155,113,1103,24,2,2,31,916,128,2,35,42,2,2,35,142.0
20,22,6,359,3,-1.0,1054,369,1,5,11,3,89,1,16,11,1,2,16,276.0,1,379,3,1103,372,1,5,13,3,97,1,18,11,1,2,18,309.0
21,22,6,121,162,318.0,1054,2,1,1,47,60,89,11,36,29,5,11,36,892.0,1,134,211,1103,2,1,1,53,60,97,11,38,39,5,11,38,976.0
22,22,6,121,5,224.0,241,290,1,1,45,151,148,9,39,34,8,9,39,892.0,1,134,5,306,362,1,1,48,151,191,9,42,40,8,9,42,976.0
23,22,7,359,13,4421.0,35,1,1,2,25,763,148,1,23,29,1,1,23,276.0,1,379,13,35,1,1,2,32,916,191,1,28,40,1,1,28,309.0
24,22,6,544,29,-1.0,1054,60,1,1,37,763,168,1,16,29,1,1,16,276.0,1,676,36,1103,61,1,1,39,916,183,1,20,39,1,1,20,309.0
25,22,6,382,295,441.0,1054,1,2,8,593,763,593,593,593,590,590,593,593,892.0,1,427,386,1103,1,2,8,657,916,657,657,655,590,590,655,655,976.0
26,22,6,382,29,-1.0,1054,9,1,1,593,763,593,593,593,590,590,593,593,892.0,1,427,36,1103,9,1,1,657,916,657,657,655,590,590,655,655,976.0
27,22,6,359,162,6671.0,82,2,1,26,593,763,593,593,593,590,590,593,593,892.0,1,379,211,84,2,1,27,657,916,657,657,655,590,590,655,655,976.0
28,23,6,359,295,-1.0,1054,60,1,1,25,151,25,1,22,21,1,3,22,101.0,1,379,386,1103,61,1,1,27,151,25,1,26,25,1,3,26,142.0
29,23,6,121,2,434.0,19,17,1,2,593,763,593,593,593,590,590,593,593,892.0,1,134,2,21,19,1,2,657,916,657,657,655,590,590,655,655,976.0
30,23,6,151,110,324.0,1,290,1,2,593,763,593,593,593,590,590,593,593,892.0,1,155,113,1,362,2,2,657,916,657,657,655,590,590,655,655,976.0
31,23,6,359,162,13001.0,241,290,76,79,593,763,593,593,593,590,590,593,593,892.0,1,379,211,306,362,127,139,657,916,657,657,655,590,590,655,655,976.0
32,23,7,382,2,3257.0,241,290,4,2,593,763,593,593,593,590,590,593,593,892.0,1,427,2,306,362,4,4,657,916,657,657,655,590,590,655,655,976.0
33,23,6,382,175,6748.0,1054,56,2,4,42,67,107,7,30,42,31,7,30,892.0,1,427,175,1103,58,2,4,56,69,134,7,32,48,31,7,32,976.0
34,23,7,544,162,-1.0,241,290,76,79,19,49,62,1,18,26,5,1,18,892.0,1,676,211,306,362,127,139,23,53,67,1,23,31,5,1,23,976.0
35,23,6,6,175,-1.0,1054,10,1,2,23,49,89,1,29,21,1,1,29,276.0,1,7,175,1103,10,1,2,30,49,97,1,31,25,1,1,31,309.0
36,23,6,544,175,-1.0,15,290,1,2,23,8,89,1,29,20,1,1,29,276.0,1,676,175,19,362,1,2,30,8,97,2,31,28,1,1,31,309.0
37,23,6,544,175,-1.0,1054,3,1,2,45,763,70,1,36,33,1,1,36,276.0,1,676,175,1103,3,1,2,48,916,101,1,38,35,1,1,38,309.0
38,23,6,544,88,-1.0,1054,5,1,1,32,763,107,1,29,23,1,2,29,276.0,1,676,94,1103,5,1,1,35,916,134,1,34,27,1,2,34,309.0
39,23,6,382,29,-1.0,9,1,1,1,8,67,112,1,5,7,1,1,5,276.0,1,427,36,10,1,1,1,8,69,128,1,5,8,1,1,5,309.0
40,23,6,121,295,240.0,1054,369,1,2,47,763,148,1,16,26,1,2,16,101.0,1,134,386,1103,372,1,2,53,916,191,1,20,31,1,2,20,142.0
41,23,6,382,295,3985.0,82,2,1,2,10,11,2,1,7,8,1,1,7,171.0,1,427,386,84,2,1,2,10,11,2,1,7,11,1,1,7,213.0
42,23,6,151,110,324.0,241,290,1,1,593,763,593,593,593,590,590,593,593,892.0,1,155,113,306,362,1,1,657,916,657,657,655,590,590,655,655,976.0
43,24,8,382,5,6173.0,241,290,76,79,10,763,70,1,10,41,0,1,10,892.0,0,427,6,306,362,127,139,13,916,101,3,14,48,1,3,14,976.0
44,24,9,121,295,319.0,9,0,76,79,42,763,148,0,16,29,0,0,16,101.0,0,134,386,10,1,127,139,56,916,191,1,25,39,1,1,25,142.0
45,24,6,359,4,-1.0,1,290,1,4,3,2,107,1,1,1,1,1,1,12.0,1,379,4,1,362,1,4,3,2,134,1,1,1,1,1,1,12.0
46,24,6,382,175,34.0,1054,10,1,1,3,151,107,1,8,1,1,1,8,276.0,1,427,175,1103,10,1,1,3,151,134,1,8,1,1,1,8,309.0
47,24,7,359,162,-1.0,1054,75,13,26,25,60,89,1,22,24,1,1,22,276.0,1,379,211,1103,75,13,27,30,60,97,1,26,27,1,1,26,309.0
48,24,6,359,1,1778.0,241,290,1,1,42,49,168,8,30,31,9,9,30,892.0,1,379,1,306,362,1,1,56,49,183,8,32,42,9,9,32,976.0
49,24,6,359,2,-1.0,241,290,1,2,37,151,148,4,37,42,31,4,37,892.0,1,379,2,306,362,1,2,39,151,191,4,38,48,31,4,38,976.0
50,24,6,151,110,324.0,82,1,3,3,37,67,112,12,37,33,5,12,37,892.0,1,155,113,84,1,3,3,39,69,128,12,38,35,6,12,38,976.0
51,24,8,121,5,224.0,1054,21,1,3,23,77,112,2,29,27,1,1,29,276.0,1,134,5,1103,22,1,3,30,78,128,2,31,31,1,1,31,309.0
52,24,6,359,5,-1.0,82,43,1,1,25,77,76,2,23,22,1,1,23,276.0,1,379,8,84,45,1,1,32,78,80,2,28,24,1,1,28,309.0
53,24,7,121,295,318.0,241,290,76,79,21,54,62,1,18,22,1,2,18,276.0,1,134,386,306,362,127,139,24,106,67,1,23,25,1,2,23,309.0
54,24,7,359,5,-1.0,241,290,4,5,25,60,62,1,24,16,1,1,24,171.0,1,379,5,306,362,4,5,27,60,67,1,26,21,1,1,26,213.0
55,24,6,121,13,345.0,1054,2,2,6,23,49,41,1,15,20,1,1,15,101.0,1,134,15,1103,2,2,6,30,53,42,1,21,28,1,1,21,142.0
56,24,6,544,295,756.0,19,17,2,5,25,151,5,1,16,12,1,1,16,276.0,1,676,386,21,19,2,5,30,151,5,1,17,15,1,1,17,309.0
57,25,6,359,2,-1.0,82,4,2,10,593,763,593,593,593,590,590,593,593,892.0,1,379,2,84,4,2,10,657,916,657,657,655,590,590,655,655,976.0
58,25,7,359,162,-1.0,1054,75,13,26,593,763,593,593,593,590,590,593,593,892.0,1,379,211,1103,75,13,27,657,916,657,657,655,590,590,655,655,976.0
59,25,6,544,162,14839.0,1054,75,2,2,593,763,593,593,593,590,590,593,593,892.0,1,676,211,1103,75,2,2,657,916,657,657,655,590,590,655,655,976.0
60,25,6,151,50,324.0,1054,2,1,1,44,77,112,11,43,42,4,12,43,892.0,1,155,51,1103,3,1,1,48,78,128,11,43,48,4,12,43,976.0
61,25,6,544,6,-1.0,241,290,1,1,37,49,148,12,37,40,10,12,37,892.0,1,676,6,306,362,1,1,39,53,191,12,38,40,10,12,38,976.0
62,25,6,544,295,-1.0,1054,45,1,5,25,763,107,1,23,22,2,1,23,276.0,1,676,386,1103,57,1,5,32,916,134,1,28,29,2,1,28,309.0
63,25,6,544,162,658.0,241,290,76,79,21,151,112,1,16,22,1,1,16,276.0,1,676,211,306,362,127,139,30,151,128,1,21,24,1,1,21,309.0
64,25,6,544,175,-1.0,1,1,1,1,19,49,41,1,24,22,1,1,24,276.0,1,676,175,1,1,1,1,26,49,42,1,26,29,1,1,26,309.0
65,25,6,382,295,-1.0,1054,369,13,18,4,11,41,1,11,15,1,1,11,171.0,1,427,386,1103,372,13,18,4,11,42,1,11,15,1,1,11,213.0
66,25,6,544,295,195.0,15,1,1,2,593,763,593,593,593,590,590,593,593,892.0,1,676,386,19,1,1,2,657,916,657,657,655,590,590,655,655,976.0
67,25,6,151,110,324.0,1054,23,1,1,593,763,593,593,593,590,590,593,593,892.0,1,155,113,1103,24,1,1,657,916,657,657,655,590,590,655,655,976.0
68,25,6,382,295,-1.0,1054,45,1,2,593,763,593,593,593,590,590,593,593,892.0,1,427,386,1103,57,1,2,657,916,657,657,655,590,590,655,655,976.0
69,26,8,544,162,-1.0,241,290,0,79,25,763,148,0,29,12,0,0,29,101.0,0,676,211,306,362,1,139,32,916,191,1,34,18,1,1,34,142.0
70,26,8,359,162,-1.0,241,290,0,79,25,54,148,0,23,29,1,0,23,101.0,0,379,211,306,362,1,139,31,106,191,1,35,40,2,1,35,142.0
71,26,7,382,29,4166.0,1054,1,0,0,19,763,168,0,20,15,0,0,20,171.0,0,427,36,1103,2,1,1,23,916,183,1,26,16,1,1,26,213.0
72,26,7,382,1,962.0,15,0,1,0,25,763,112,0,23,29,0,0,23,101.0,0,427,5,19,4,2,1,31,916,128,1,35,40,1,2,35,142.0
73,26,7,382,1,962.0,15,0,0,3,42,763,148,0,23,29,0,0,23,276.0,0,427,5,19,4,4,5,56,916,191,2,35,39,2,1,35,309.0
74,26,7,382,1,962.0,15,0,0,3,42,763,148,0,23,31,0,0,23,276.0,0,427,5,19,4,4,5,56,916,191,2,35,42,1,1,35,309.0
75,26,6,359,162,2688.0,1054,1,1,1,593,763,593,593,593,590,590,593,593,892.0,1,379,211,1103,1,1,1,657,916,657,657,655,590,590,655,655,976.0
76,26,7,544,88,-1.0,1054,2,1,26,593,763,593,593,593,590,590,593,593,892.0,1,676,94,1103,3,1,27,657,916,657,657,655,590,590,655,655,976.0
77,26,6,544,162,-1.0,82,43,1,1,593,763,593,593,593,590,590,593,593,892.0,1,676,211,84,45,1,1,657,916,657,657,655,590,590,655,655,976.0
78,26,6,121,295,199.0,19,17,1,2,593,763,593,593,593,590,590,593,593,892.0,1,134,386,21,19,1,2,657,916,657,657,655,590,590,655,655,976.0
79,26,6,544,2,3548.0,241,290,1,4,17,763,70,1,14,24,1,1,14,171.0,1,676,2,306,362,1,4,18,916,101,1,19,26,1,1,19,213.0
80,26,7,359,162,-1.0,1054,75,13,26,19,8,107,1,20,24,1,2,20,276.0,1,379,211,1103,75,13,27,23,8,134,1,26,26,1,2,26,309.0
81,26,6,6,2,0.0,1054,369,2,3,8,3,168,1,7,7,1,1,7,19.0,1,7,2,1103,372,2,4,8,3,183,1,7,8,1,1,7,19.0
82,26,6,382,29,5426.0,1054,1,1,5,25,49,112,2,16,29,5,2,16,892.0,1,427,36,1103,1,1,5,31,49,128,2,25,39,5,2,25,976.0
83,26,7,359,1,-1.0,241,290,4,3,21,31,76,2,23,31,9,2,23,892.0,1,379,1,306,362,4,3,30,31,80,2,35,42,9,3,35,976.0
84,26,6,544,175,-1.0,82,4,2,3,45,151,148,3,39,34,2,3,39,892.0,1,676,175,84,4,2,5,48,151,191,3,42,40,2,3,42,976.0
85,26,6,121,13,345.0,1054,60,1,2,8,763,148,3,5,9,2,3,5,276.0,1,134,15,1103,61,1,2,8,916,191,3,5,9,2,3,5,309.0
86,26,7,359,162,-1.0,1054,75,13,26,6,16,25,1,6,24,1,1,6,276.0,1,379,211,1103,75,13,27,7,17,25,1,8,27,1,1,8,309.0
87,26,7,359,162,-1.0,1054,75,13,26,21,25,41,1,18,19,1,1,18,276.0,1,379,211,1103,75,13,27,24,26,42,1,23,23,1,3,23,309.0
88,26,6,359,88,-1.0,1054,7,1,2,42,763,148,2,23,29,1,1,23,276.0,1,379,94,1103,10,1,2,56,916,191,2,35,40,1,1,35,309.0
89,26,6,382,29,-1.0,1054,2,1,2,593,763,593,593,593,590,590,593,593,892.0,1,427,36,1103,2,1,2,657,916,657,657,655,590,590,655,655,976.0
90,26,6,151,175,324.0,1054,10,1,1,593,763,593,593,593,590,590,593,593,892.0,1,155,175,1103,10,1,1,657,916,657,657,655,590,590,655,655,976.0
91,26,6,544,88,-1.0,1054,20,1,4,593,763,593,593,593,590,590,593,593,892.0,1,676,94,1103,23,1,4,657,916,657,657,655,590,590,655,655,976.0
92,26,6,544,162,-1.0,1054,4,1,1,593,763,593,593,593,590,590,593,593,892.0,1,676,211,1103,5,1,1,657,916,657,657,655,590,590,655,655,976.0
93,26,6,359,29,-1.0,1054,56,1,4,593,763,593,593,593,590,590,593,593,892.0,1,379,36,1103,58,1,4,657,916,657,657,655,590,590,655,655,976.0
94,27,7,544,7,8756.0,15,0,1,0,8,763,168,0,6,8,0,0,6,171.0,0,676,12,19,4,2,1,9,916,183,1,7,11,1,1,7,213.0
95,27,7,544,295,193.0,1054,20,0,26,25,763,70,0,23,22,0,0,23,101.0,0,676,386,1103,23,1,27,31,916,101,1,35,25,1,1,35,142.0
96,27,8,544,162,-1.0,1054,63,1,4,593,763,593,593,593,590,590,593,593,892.0,1,676,211,1103,65,1,4,657,916,657,657,655,590,590,655,655,976.0
97,27,6,151,110,324.0,1054,23,1,4,593,763,593,593,593,590,590,593,593,892.0,1,155,113,1103,24,1,4,657,916,657,657,655,590,590,655,655,976.0
98,27,6,359,3,-1.0,1054,1,1,10,26,151,70,20,22,41,24,20,22,892.0,1,379,3,1103,2,1,10,28,151,101,20,25,48,24,20,25,976.0
99,27,6,544,24,-1.0,35,14,1,1,10,16,9,1,7,10,1,1,7,171.0,1,676,25,35,14,1,1,10,16,9,1,7,11,1,1,7,213.0
100,27,6,544,6,7967.0,241,290,1,5,37,763,112,1,36,26,1,1,36,101.0,1,676,6,306,362,1,5,39,916,128,1,38,31,1,1,38,142.0
101,27,7,382,295,11506.0,1054,60,2,1,593,763,593,593,593,590,590,593,593,892.0,1,427,386,1103,61,2,1,657,916,657,657,655,590,590,655,655,976.0
102,28,9,544,24,-1.0,0,0,0,12,44,763,70,0,30,31,1,0,30,101.0,0,676,25,2,1,1,13,48,916,101,1,32,42,2,1,32,142.0
103,28,7,151,110,324.0,1054,60,0,0,44,763,148,0,16,31,0,0,16,276.0,0,155,113,1103,61,1,1,48,916,191,1,25,42,1,1,25,309.0
104,28,8,359,162,39036.0,5,8,5,5,593,763,593,593,593,590,590,593,593,892.0,1,379,211,5,8,5,5,657,916,657,657,655,590,590,655,655,976.0
105,28,6,382,175,-1.0,1054,369,33,36,593,763,593,593,593,590,590,593,593,892.0,1,427,175,1103,372,33,36,657,916,657,657,655,590,590,655,655,976.0
106,28,7,121,295,-1.0,8,290,1,2,593,763,593,593,593,590,590,593,593,892.0,1,134,386,9,362,1,2,657,916,657,657,655,590,590,655,655,976.0
107,28,7,382,88,-1.0,6,2,2,5,593,763,593,593,593,590,590,593,593,892.0,1,427,94,6,2,2,5,657,916,657,657,655,590,590,655,655,976.0
108,28,7,151,175,-1.0,1054,2,3,2,37,67,168,8,37,33,2,8,37,892.0,1,155,175,1103,2,3,2,39,69,183,8,38,35,2,8,38,976.0
109,28,7,382,88,-1.0,6,2,2,5,47,67,89,11,36,29,3,11,36,892.0,1,427,94,6,2,2,5,53,69,97,11,38,39,3,11,38,976.0
110,28,6,151,50,324.0,1054,5,1,1,44,151,168,11,43,34,3,12,43,892.0,1,155,51,1103,5,1,1,48,151,183,11,43,40,3,12,43,976.0
111,28,7,359,295,8578.0,82,43,1,1,21,49,107,1,20,20,3,1,20,90.0,1,379,386,84,45,1,1,24,49,134,1,26,28,3,1,26,105.0
112,28,6,544,295,10576.0,9,1,1,8,25,31,148,1,29,29,1,1,29,892.0,1,676,386,10,1,1,8,30,31,191,1,34,40,1,1,34,976.0
113,28,7,151,50,324.0,241,290,1,6,23,54,76,1,29,19,1,1,29,171.0,1,155,51,306,362,1,6,26,106,80,1,31,23,1,1,31,213.0
114,28,7,544,1,12846.0,1054,1,1,1,23,16,168,3,29,19,1,1,29,171.0,1,676,1,1103,1,1,1,26,17,183,3,31,23,1,1,31,213.0
115,28,7,544,49,6666.0,1054,369,47,47,2,49,25,1,3,6,1,1,3,276.0,1,676,49,1103,372,47,47,2,53,25,1,3,6,1,1,3,309.0
116,28,6,121,1,445.0,1054,60,4,2,13,49,62,1,20,18,1,1,20,101.0,1,134,1,1103,61,4,2,13,53,67,1,26,18,1,1,26,142.0
117,28,8,544,295,-1.0,1054,56,1,1,37,763,168,1,36,33,1,1,36,101.0,1,676,386,1103,58,1,1,39,916,183,1,38,35,1,1,38,142.0
118,28,7,151,110,324.0,241,290,76,79,18,7,112,3,9,7,1,3,9,171.0,1,155,113,306,362,127,139,18,7,128,3,9,7,1,3,9,213.0
119,28,6,359,2,-1.0,1054,75,1,1,593,763,593,593,593,590,590,593,593,892.0,1,379,2,1103,75,1,1,657,916,657,657,655,590,590,655,655,976.0
120,28,6,359,175,-1.0,1054,369,15,15,19,8,168,1,20,11,1,1,20,276.0,1,379,175,1103,372,15,15,23,8,183,1,26,11,1,1,26,309.0
121,28,6,544,162,18438.0,1054,45,1,1,593,763,593,593,593,590,590,593,593,892.0,1,676,211,1103,57,1,1,657,916,657,657,655,590,590,655,655,976.0
122,29,7,382,295,7314.0,1054,2,0,0,10,763,148,0,7,8,0,0,7,171.0,0,427,386,1103,3,3,4,11,916,191,1,8,10,1,1,8,213.0
123,29,7,151,110,324.0,0,0,0,2,44,763,148,1,30,33,0,0,30,101.0,0,155,113,1,1,4,3,48,916,191,2,32,35,1,1,32,142.0
124,29,6,382,295,-1.0,1054,369,13,18,593,763,593,593,593,590,590,593,593,892.0,1,427,386,1103,372,13,18,657,916,657,657,655,590,590,655,655,976.0
125,29,6,6,2,0.0,1054,369,2,3,593,763,593,593,593,590,590,593,593,892.0,1,7,2,1103,372,2,4,657,916,657,657,655,590,590,655,655,976.0
126,29,8,382,295,9136.0,1054,369,1,2,593,763,593,593,593,590,590,593,593,892.0,1,427,386,1103,372,1,2,657,916,657,657,655,590,590,655,655,976.0
127,29,6,544,295,5019.0,1054,19,1,1,593,763,593,593,593,590,590,593,593,892.0,1,676,386,1103,19,1,1,657,916,657,657,655,590,590,655,655,976.0
128,29,7,359,162,-1.0,1054,75,13,26,593,763,593,593,593,590,590,593,593,892.0,1,379,211,1103,75,13,27,657,916,657,657,655,590,590,655,655,976.0
129,29,6,121,7,210.0,1054,7,2,2,593,763,593,593,593,590,590,593,593,892.0,1,134,7,1103,7,2,2,657,916,657,657,655,590,590,655,655,976.0
130,29,6,544,7,8654.0,11,5,1,2,593,763,593,593,593,590,590,593,593,892.0,1,676,12,11,5,1,2,657,916,657,657,655,590,590,655,655,976.0
131,29,7,121,3,238.0,82,3,1,1,593,763,593,593,593,590,590,593,593,892.0,1,134,3,84,3,1,2,657,916,657,657,655,590,590,655,655,976.0
132,29,6,382,295,26856.0,241,290,1,1,19,60,107,1,20,15,1,1,20,276.0,1,427,386,306,362,1,1,23,60,134,1,26,16,1,1,26,309.0
133,29,6,151,110,324.0,1054,1,1,2,25,25,89,2,21,31,2,2,21,892.0,1,155,113,1103,1,1,2,32,26,97,2,24,42,2,2,24,976.0
134,29,7,544,5,-1.0,82,2,1,3,1,1,168,1,1,1,1,1,1,892.0,1,676,5,84,2,1,3,1,1,183,1,1,1,1,1,1,976.0
135,29,6,544,295,10210.0,1054,369,1,4,44,67,148,9,43,40,3,9,43,892.0,1,676,386,1103,372,1,12,48,69,191,9,43,40,3,9,43,976.0
136,29,6,382,295,13684.0,1054,2,1,1,27,25,76,1,16,31,1,1,16,892.0,1,427,386,1103,2,1,1,36,26,80,1,21,42,1,1,21,976.0
137,29,6,151,175,324.0,82,4,2,1,26,151,70,20,22,41,24,20,22,892.0,1,155,175,84,4,2,1,28,151,101,20,25,48,24,20,25,976.0
138,29,6,121,29,770.0,1054,1,1,1,44,151,168,9,43,40,4,9,43,892.0,1,134,36,1103,1,1,1,48,151,183,9,43,40,4,9,43,976.0
139,29,8,544,6,6813.0,1054,9,1,3,23,31,28,1,22,23,1,1,22,892.0,1,676,6,1103,9,1,3,26,31,30,1,26,27,2,1,26,976.0
140,29,6,151,110,324.0,241,290,2,6,10,31,89,1,8,20,1,1,8,276.0,1,155,113,306,362,2,6,11,31,97,1,8,26,1,1,8,309.0
141,29,6,382,175,34.0,1054,45,2,2,32,77,41,1,21,12,1,1,21,101.0,1,427,175,1103,57,2,2,35,78,42,1,24,18,1,1,24,142.0
142,29,7,382,295,-1.0,1054,369,13,18,12,6,62,1,8,11,1,1,8,171.0,1,427,386,1103,372,13,18,12,6,67,1,8,11,1,1,8,213.0
143,29,8,544,49,20404.0,1054,369,47,47,18,60,107,1,10,15,1,1,10,276.0,1,676,49,1103,372,47,47,18,60,134,1,10,15,1,1,10,309.0
144,29,8,544,1,-1.0,7,2,2,2,13,763,107,1,7,18,2,1,7,90.0,1,676,1,10,2,2,2,13,916,134,1,7,18,2,1,7,105.0
145,29,6,544,1,7159.0,1054,56,1,1,21,60,25,1,29,24,2,1,29,101.0,1,676,1,1103,58,1,1,24,60,25,1,31,27,2,1,31,142.0
146,29,6,359,24,-1.0,1054,2,1,1,19,54,168,1,20,15,1,1,20,276.0,1,379,25,1103,2,1,1,23,106,183,1,26,16,1,1,26,309.0
147,29,6,121,295,388.0,1054,11,1,1,593,763,593,593,593,590,590,593,593,892.0,1,134,386,1103,11,1,1,657,916,657,657,655,590,590,655,655,976.0
148,29,6,382,13,199.0,241,290,1,1,593,763,593,593,593,590,590,593,593,892.0,1,427,15,306,362,1,1,657,916,657,657,655,590,590,655,655,976.0
149,29,8,151,110,324.0,35,2,1,1,593,763,593,593,593,590,590,593,593,892.0,1,155,113,35,2,1,1,657,916,657,657,655,590,590,655,655,976.0
150,29,6,382,29,-1.0,82,43,1,3,593,763,593,593,593,590,590,593,593,892.0,1,427,36,84,45,1,3,657,916,657,657,655,590,590,655,655,976.0
151,29,6,359,175,-1.0,1054,369,15,15,593,763,593,593,593,590,590,593,593,892.0,1,379,175,1103,372,15,15,657,916,657,657,655,590,590,655,655,976.0
152,30,8,121,295,177.0,241,290,76,79,42,763,148,0,16,31,0,0,16,101.0,0,134,386,306,362,127,139,56,916,191,1,25,42,1,1,25,142.0
153,30,6,359,2,-1.0,3,290,1,1,593,763,593,593,593,590,590,593,593,892.0,1,379,2,3,362,1,1,657,916,657,657,655,590,590,655,655,976.0
154,30,6,121,1,199.0,1054,21,1,5,593,763,593,593,593,590,590,593,593,892.0,1,134,1,1103,22,1,6,657,916,657,657,655,590,590,655,655,976.0
155,30,7,359,162,-1.0,1054,75,13,26,25,31,168,1,22,22,1,1,22,276.0,1,379,211,1103,75,13,27,30,31,183,1,26,29,1,1,26,309.0
156,30,6,382,175,-1.0,1054,369,33,36,5,3,21,1,1,1,1,1,1,2.0,1,427,175,1103,372,33,36,5,3,21,1,1,1,1,1,1,2.0
157,30,6,382,295,-1.0,1054,369,13,18,21,11,148,1,19,19,1,1,19,171.0,1,427,386,1103,372,13,18,27,11,191,1,22,23,1,1,22,213.0
158,30,6,382,1,-1.0,241,290,1,2,19,11,107,1,22,24,1,1,22,892.0,1,427,1,306,362,1,2,26,11,134,1,26,26,1,1,26,976.0
